Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Indiana,Big Ten,16.84,8.06,24.90,121.44,84.75,36.69
2,Louisville,Big East,12.77,12.04,24.81,117.29,79.77,37.52
3,Florida,SEC,7.91,15.95,23.86,118.49,80.82,37.67
4,Duke,ACC,14.19,7.24,21.43,119.24,86.74,32.50
5,Michigan,Big Ten,13.47,7.82,21.28,122.50,89.39,33.11
6,Kansas,Big 12,11.67,9.12,20.79,113.80,82.99,30.81
7,Gonzaga,WCC,11.35,9.12,20.47,118.57,87.31,31.26
8,Syracuse,Big East,8.12,12.18,20.30,112.54,82.69,29.86
9,Ohio State,Big Ten,9.21,10.98,20.19,115.52,84.80,30.72
10,Pittsburgh,Big East,4.67,14.15,18.82,117.35,86.43,30.93
11,Wisconsin,Big Ten,3.15,15.60,18.76,110.03,80.85,29.18
12,Michigan State,Big Ten,5.78,12.86,18.64,112.13,83.52,28.61
13,Arizona,Pac-12,10.24,7.06,17.30,114.47,88.30,26.17
14,Miami (FL),ACC,5.28,11.71,16.99,113.26,87.04,26.22
15,Virginia Commonwealth,A-10,11.47,5.42,16.89,113.69,89.09,24.60
16,Minnesota,Big Ten,7.55,9.29,16.83,112.97,87.42,25.56
17,Creighton,MVC,10.26,6.17,16.44,117.88,92.42,25.46
18,Georgetown,Big East,1.42,14.42,15.84,107.33,82.47,24.86
19,Oklahoma State,Big 12,7.60,7.97,15.57,108.65,85.20,23.45
20,Missouri,SEC,11.64,3.77,15.41,114.37,91.07,23.29
21,Baylor,Big 12,11.32,3.75,15.07,113.97,91.51,22.46
22,Wichita State,MVC,5.46,9.22,14.68,109.88,87.22,22.66
23,North Carolina,ACC,12.82,1.70,14.52,111.01,90.05,20.96
24,Saint Mary's (CA),WCC,8.78,5.74,14.51,116.41,93.89,22.53
25,Iowa State,Big 12,15.39,-0.89,14.50,116.63,95.00,21.64
26,Cincinnati,Big East,3.83,10.63,14.46,105.36,84.81,20.55
27,Mississippi,SEC,12.95,1.47,14.42,110.18,89.58,20.61
28,Saint Louis,A-10,3.47,10.87,14.33,107.91,85.05,22.86
29,North Carolina State,ACC,13.59,0.72,14.32,116.57,95.23,21.34
30,Iowa,Big Ten,8.03,6.19,14.22,109.00,87.14,21.86
31,Marquette,Big East,7.29,6.74,14.04,112.62,90.85,21.77
32,Kentucky,SEC,9.15,4.79,13.94,110.92,91.21,19.71
33,Oregon,Pac-12,8.28,5.54,13.82,106.75,85.86,20.88
34,Notre Dame,Big East,6.68,7.05,13.74,115.09,93.56,21.53
35,Colorado State,MWC,9.04,4.61,13.65,116.27,94.62,21.66
36,Kansas State,Big 12,4.17,9.36,13.53,112.34,91.47,20.87
37,New Mexico,MWC,4.61,8.68,13.28,108.25,87.41,20.85
38,Illinois,Big Ten,6.87,6.35,13.23,110.61,90.42,20.19
39,San Diego State,MWC,4.94,8.07,13.01,107.56,87.39,20.17
40,Nevada-Las Vegas,MWC,6.87,6.05,12.92,105.00,85.89,19.11
41,Virginia,ACC,-0.65,13.54,12.89,107.72,86.92,20.80
42,UCLA,Pac-12,11.87,1.01,12.88,111.29,92.19,19.10
43,Memphis,CUSA,7.69,4.57,12.26,106.15,87.84,18.31
44,Colorado,Pac-12,4.31,7.63,11.95,106.20,88.23,17.97
45,Connecticut,Big East,7.52,4.37,11.88,109.64,91.19,18.46
46,Oklahoma,Big 12,7.27,4.13,11.40,109.25,92.24,17.01
47,Stanford,Pac-12,7.19,4.21,11.40,108.33,90.84,17.49
48,Maryland,ACC,5.61,5.77,11.37,106.68,89.20,17.48
49,Middle Tennessee,Sun Belt (East),2.82,8.34,11.16,106.88,89.45,17.43
50,Butler,A-10,4.32,6.68,10.99,109.06,91.54,17.52
51,Villanova,Big East,5.98,4.76,10.74,105.42,88.73,16.69
52,Brigham Young,WCC,10.88,-0.21,10.66,108.28,92.57,15.70
53,California,Pac-12,4.45,6.19,10.65,106.66,90.10,16.56
54,Belmont,OVC (East),7.35,3.02,10.37,109.86,93.80,16.06
55,La Salle,A-10,6.78,3.36,10.14,110.53,94.77,15.76
56,Arkansas,SEC,10.31,-0.49,9.82,107.28,93.04,14.24
57,Alabama,SEC,-1.78,11.57,9.79,103.42,87.72,15.70
58,Illinois State,MVC,10.19,-0.56,9.63,109.06,94.38,14.68
59,Temple,A-10,6.77,2.75,9.52,109.62,94.81,14.81
60,Boise State,MWC,6.93,2.51,9.44,111.25,96.30,14.95
61,Dayton,A-10,7.34,2.02,9.36,110.94,96.04,14.90
62,Providence,Big East,4.64,4.64,9.28,107.17,92.27,14.90
