Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Louisville,AAC,13.26,11.43,24.69,120.41,84.26,36.14
2,Arizona,Pac-12,7.31,16.05,23.36,116.38,80.93,35.45
3,Florida,SEC,4.39,16.30,20.69,116.20,84.22,31.98
4,Kansas,Big 12,13.34,6.91,20.25,120.51,90.71,29.81
5,Wisconsin,Big Ten,9.22,10.47,19.69,122.72,92.18,30.54
6,Duke,ACC,13.87,5.64,19.51,125.14,95.42,29.73
7,Michigan State,Big Ten,10.45,8.90,19.35,118.64,89.98,28.66
8,Oklahoma State,Big 12,13.70,5.31,19.02,117.49,90.18,27.31
9,Villanova,Big East,10.41,8.56,18.97,115.95,87.97,27.98
10,Iowa,Big Ten,16.33,2.25,18.58,119.65,92.83,26.81
11,Iowa State,Big 12,17.30,1.22,18.52,119.27,92.67,26.59
12,Michigan,Big Ten,9.08,9.44,18.52,124.30,95.64,28.66
13,UCLA,Pac-12,14.33,4.07,18.40,118.88,92.30,26.58
14,Virginia,ACC,0.62,17.76,18.38,112.83,83.75,29.08
15,Kentucky,SEC,9.50,8.57,18.07,118.23,91.30,26.93
16,Creighton,Big East,12.14,5.89,18.03,124.84,98.02,26.82
17,Ohio State,Big Ten,3.37,14.47,17.84,110.75,83.32,27.43
18,Pittsburgh,ACC,7.31,10.15,17.46,117.25,90.65,26.60
19,Tennessee,SEC,5.88,11.46,17.34,118.21,91.07,27.14
20,Connecticut,AAC,5.29,11.93,17.23,113.19,87.67,25.53
21,Wichita State,MVC,6.06,10.59,16.65,114.47,88.60,25.87
22,Syracuse,ACC,2.13,13.92,16.05,115.17,89.85,25.32
23,Baylor,Big 12,6.78,9.02,15.80,118.53,94.81,23.72
24,Oregon,Pac-12,14.69,1.06,15.75,118.34,95.42,22.92
25,Gonzaga,WCC,6.61,8.96,15.56,114.10,90.90,23.20
26,Cincinnati,AAC,0.70,14.55,15.26,109.34,86.61,22.73
27,North Carolina,ACC,10.62,4.63,15.24,112.29,89.90,22.39
28,San Diego State,MWC,0.91,14.04,14.95,108.52,85.52,22.99
29,Oklahoma,Big 12,15.64,-0.73,14.91,117.59,96.09,21.50
30,Virginia Commonwealth,A-10,7.98,6.57,14.55,108.13,86.79,21.34
31,Arkansas,SEC,13.25,1.09,14.34,111.87,92.03,19.84
32,Southern Methodist,AAC,4.06,9.67,13.73,111.43,90.35,21.08
33,Stanford,Pac-12,6.68,6.74,13.42,112.29,92.34,19.95
34,Arizona State,Pac-12,9.13,4.19,13.32,111.45,91.77,19.68
35,Memphis,AAC,8.98,4.04,13.02,111.76,92.85,18.91
36,New Mexico,MWC,6.62,6.10,12.72,113.23,93.81,19.42
37,Texas,Big 12,7.27,5.40,12.67,110.77,92.41,18.37
38,Utah,Pac-12,4.06,8.61,12.66,111.07,92.73,18.34
39,Florida State,ACC,6.08,6.55,12.63,111.06,92.40,18.66
