Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Ohio State,Big Ten,13.39,12.45,25.84,124.63,85.12,39.51
2,Duke,ACC,16.55,7.95,24.51,120.54,85.03,35.51
3,Kansas,Big 12,15.48,8.62,24.10,121.00,85.67,35.33
4,Pittsburgh,Big East,9.54,11.28,20.82,121.39,88.86,32.53
5,Texas,Big 12,9.52,11.30,20.82,114.63,83.77,30.86
6,Kentucky,SEC (East),10.67,9.64,20.30,118.41,87.58,30.83
7,Washington,Pac-10,18.29,1.83,20.12,118.85,90.37,28.49
8,Purdue,Big Ten,9.34,10.02,19.36,115.04,85.67,29.37
9,North Carolina,ACC,13.00,5.87,18.87,112.02,84.92,27.10
10,Syracuse,Big East,9.39,9.45,18.85,115.21,86.57,28.63
11,Wisconsin,Big Ten,4.24,14.52,18.77,123.46,92.49,30.97
12,Brigham Young,MWC,15.83,2.82,18.65,116.20,89.26,26.95
13,Louisville,Big East,10.42,8.18,18.60,113.18,85.59,27.59
14,Notre Dame,Big East,11.10,7.07,18.17,120.53,92.75,27.79
15,San Diego State,MWC,5.28,12.68,17.96,113.93,85.85,28.08
16,Connecticut,Big East,9.23,8.72,17.95,115.08,87.63,27.45
17,Illinois,Big Ten,7.98,8.74,16.72,113.89,88.43,25.47
18,Arizona,Pac-10,11.12,5.42,16.54,117.75,92.45,25.29
19,Florida,SEC (East),7.74,8.53,16.27,115.22,90.16,25.06
20,West Virginia,Big East,5.64,10.51,16.15,114.43,89.85,24.58
21,Cincinnati,Big East,3.69,11.72,15.41,111.41,87.63,23.79
22,Vanderbilt,SEC (East),11.12,3.97,15.10,116.18,93.45,22.73
23,Villanova,Big East,8.23,6.82,15.05,113.58,90.53,23.05
24,Maryland,ACC,10.59,4.41,15.00,109.92,88.13,21.78
25,Marquette,Big East,10.23,4.66,14.89,115.58,93.20,22.37
26,Missouri,Big 12,14.73,0.04,14.77,113.62,92.55,21.07
27,Nevada-Las Vegas,MWC,6.84,7.82,14.67,110.26,87.65,22.61
28,Georgetown,Big East,7.15,7.47,14.61,114.21,92.09,22.11
29,Kansas State,Big 12,7.55,7.04,14.59,110.43,88.65,21.77
30,Michigan,Big Ten,3.14,11.07,14.21,113.11,90.66,22.46
31,Gonzaga,WCC,8.59,5.27,13.86,111.51,90.52,20.99
32,Virginia Tech,ACC,4.76,9.09,13.84,109.93,88.92,21.00
33,Clemson,ACC,3.37,10.39,13.76,108.91,87.23,21.68
34,Michigan State,Big Ten,6.14,7.56,13.70,110.12,89.66,20.46
35,Florida State,ACC,3.52,9.97,13.48,103.30,83.53,19.77
36,Utah State,WAC,1.88,11.35,13.23,110.45,88.83,21.62
37,St. John's (NY),Big East,6.41,6.69,13.10,111.39,90.79,20.60
38,Belmont,A-Sun,9.39,3.68,13.07,111.47,91.73,19.74
39,Saint Mary's (CA),WCC,9.69,3.35,13.04,116.99,96.81,20.18
40,Texas A&amp;M,Big 12,2.24,10.38,12.62,109.74,90.71,19.03
41,Wichita State,MVC,6.89,5.68,12.57,113.38,92.64,20.74
42,Temple,A-10,3.97,8.38,12.35,109.68,90.01,19.67
43,Washington State,Pac-10,7.30,4.97,12.27,108.27,89.86,18.42
44,Penn State,Big Ten,0.94,11.04,11.98,113.05,93.66,19.40
45,Xavier,A-10,6.30,5.58,11.88,112.43,93.78,18.65
46,Minnesota,Big Ten,5.68,6.07,11.75,110.52,92.41,18.11
47,New Mexico,MWC,6.54,5.18,11.72,111.14,92.91,18.24
