
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
80,Georgia Tech,ACC,0.63,6.80,7.42,102.32,90.54,11.79
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
81,Memphis,AAC,3.69,3.68,7.37,105.14,93.04,12.09
82,Marquette,Big East,1.80,5.52,7.31,105.27,93.55,11.72
83,Florida State,ACC,4.05,2.97,7.02,104.85,93.82,11.02
84,Boston College,ACC,3.24,3.39,6.63,107.86,97.41,10.45
85,Northwestern,Big Ten,-0.12,6.62,6.51,106.77,96.84,9.94
86,Central Michigan,MAC (West),6.62,-0.19,6.43,113.54,102.65,10.89
87,Valparaiso,Horizon,-0.10,6.43,6.33,103.63,92.85,10.78
88,Oregon State,Pac-12,-5.88,12.14,6.27,99.22,89.33,9.89
89,Nebraska,Big Ten,-2.15,8.39,6.24,100.19,90.31,9.88
90,Green Bay,Horizon,0.54,5.60,6.14,102.55,92.11,10.44
91,Murray State,OVC (West),9.25,-3.30,5.96,112.25,102.24,10.01
92,Washington,Pac-12,4.69,1.14,5.82,106.43,97.19,9.24
93,Nevada-Las Vegas,MWC,3.59,2.11,5.70,105.94,96.21,9.74
94,San Diego,WCC,-0.95,6.65,5.70,101.79,92.89,8.90
95,California,Pac-12,2.15,3.49,5.64,103.23,93.73,9.50
96,Louisiana Tech,CUSA,5.02,0.55,5.57,104.85,95.62,9.23
97,Texas-El Paso,CUSA,1.60,3.91,5.51,105.23,95.65,9.59
98,Toledo,MAC (West),8.31,-3.00,5.31,110.59,101.94,8.65
99,Pepperdine,WCC,-2.04,7.30,5.27,100.11,91.83,8.28
100,La Salle,A-10,-0.89,6.00,5.11,100.10,91.88,8.22
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
101,Georgia State,Sun Belt,2.09,2.87,4.96,106.76,97.87,8.89
102,Wake Forest,ACC,5.76,-0.88,4.88,104.69,96.14,8.55
103,Texas Tech,Big 12,-2.28,6.76,4.48,101.72,95.37,6.35
104,Bowling Green State,MAC (East),-0.55,4.95,4.41,103.18,95.15,8.02
105,Wyoming,MWC,-3.98,8.37,4.38,103.86,95.19,8.67
106,Harvard,Ivy,-3.12,7.33,4.21,100.71,92.76,7.95
107,Hofstra,CAA,9.34,-5.13,4.21,108.70,102.16,6.54
108,Akron,MAC (East),-0.08,4.28,4.20,102.50,95.29,7.21
109,St. Bonaventure,A-10,1.42,2.73,4.15,102.54,96.05,6.49
110,Iona,MAAC,11.84,-7.72,4.12,110.47,104.33,6.14
111,California-Santa Barbara,Big West,1.70,2.38,4.08,106.27,98.63,7.64
112,Portland,WCC,4.41,-0.38,4.02,107.52,100.62,6.90
113,New Mexico State,WAC,0.80,3.08,3.88,104.48,97.03,7.45
114,Massachusetts,A-10,4.75,-0.88,3.87,104.63,97.98,6.65
115,Yale,Ivy,-0.50,4.23,3.73,103.82,97.03,6.78
116,San Francisco,WCC,3.11,0.53,3.64,104.30,98.50,5.80
117,Auburn,SEC,5.85,-2.24,3.61,104.90,98.74,6.17
118,DePaul,Big East,6.73,-3.14,3.60,108.18,102.18,6.00
119,California-Irvine,Big West,0.00,3.51,3.51,103.45,96.94,6.51
120,Utah State,MWC,1.37,1.84,3.21,104.61,98.65,5.96
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
121,New Mexico,MWC,-3.12,6.22,3.10,100.15,94.49,5.66
122,William &amp; Mary,CAA,5.02,-1.99,3.03,111.03,105.93,5.10
123,South Dakota State,Summit,2.88,0.13,3.01,104.62,98.71,5.91
124,Hawaii,Big West,5.08,-2.17,2.91,102.71,97.94,4.76
