Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
224,Florida International,Sun Belt (East),-4.22,-0.85,-5.07,95.87,103.08,-7.21
225,Central Connecticut State,NEC,-0.72,-4.64,-5.36,95.82,103.04,-7.23
226,Rider,MAAC,2.83,-8.23,-5.40,100.19,108.02,-7.83
227,North Carolina-Wilmington,CAA,-2.01,-3.49,-5.50,97.71,105.54,-7.84
228,Siena,MAAC,-5.63,-0.08,-5.71,93.69,101.73,-8.04
229,Bradley,MVC,-3.41,-2.38,-5.79,92.48,100.76,-8.28
230,James Madison,CAA,-1.41,-4.46,-5.86,97.63,105.85,-8.22
231,High Point,Big South,-0.02,-5.90,-5.92,101.30,109.67,-8.37
232,Holy Cross,Patriot,-4.01,-2.01,-6.02,94.20,102.39,-8.19
233,St. Francis (NY),NEC,-2.47,-3.55,-6.02,92.70,101.19,-8.49
234,Furman,Southern (South),-5.64,-0.40,-6.04,94.17,103.22,-9.06
235,Campbell,Big South,1.99,-8.05,-6.06,99.70,107.96,-8.27
236,California-Irvine,Big West,-0.55,-5.52,-6.07,93.70,102.70,-9.00
237,North Carolina Central,MEAC,-5.20,-0.92,-6.12,93.30,101.62,-8.32
238,Southeast Missouri State,OVC,-0.35,-5.77,-6.12,100.34,108.86,-8.52
239,Southern Utah,Summit,-5.82,-0.40,-6.22,94.64,103.72,-9.08
240,Northern Colorado,Big Sky,3.02,-9.25,-6.23,101.89,110.77,-8.89
241,McNeese State,Southland (East),-4.33,-1.93,-6.26,96.51,105.28,-8.77
242,Northwestern State,Southland (East),-0.72,-5.57,-6.29,92.67,101.46,-8.80
243,Utah Valley,GWC,-3.47,-3.06,-6.53,94.71,104.25,-9.54
244,Western Carolina,Southern (North),-1.72,-4.86,-6.57,96.55,106.20,-9.64
245,Niagara,MAAC,1.39,-8.06,-6.67,98.68,108.26,-9.58
246,Georgia Southern,Southern (South),-3.54,-3.16,-6.70,95.03,105.02,-10.00
247,Central Michigan,MAC (West),-4.84,-1.91,-6.74,94.18,104.84,-10.66
248,Presbyterian,Big South,-7.02,0.26,-6.76,98.71,108.51,-9.80
249,Santa Clara,WCC,0.87,-7.65,-6.79,101.44,111.00,-9.55
250,Sacred Heart,NEC,0.49,-7.36,-6.87,98.62,108.32,-9.70
251,Appalachian State,Southern (North),-2.65,-4.28,-6.93,95.99,106.44,-10.44
252,Chattanooga,Southern (North),-1.69,-5.30,-6.99,93.93,103.75,-9.82
253,Cal State Bakersfield,Ind,-2.07,-5.08,-7.15,98.01,107.95,-9.94
254,Lafayette,Patriot,0.43,-7.64,-7.20,101.09,111.60,-10.51
255,Jacksonville,A-Sun,-2.77,-4.53,-7.30,95.59,105.67,-10.09
